title,author,isbn_13,format_code,location_code,notes,cover_url
A Case of Need,Michael Crichton,9780451039248.0,ADIG,,Audiobook (digital),"https://m.media-amazon.com/images/I/717cDkTYuWL._AC_UF894,1000_QL80_.jpg"
A Case of Need,Michael Crichton,9780451039248.0,ADIG,,Audiobook (digital),"https://m.media-amazon.com/images/I/717cDkTYuWL._AC_UF894,1000_QL80_.jpg"
A Clockwork Orange,Anthony Burgess,9780786246441.0,PB,F1-B25-S06,https://m.media-amazon.com/images/I/61ySbbGvQaL._AC_UF894,1000_QL80_.jpg
A Clockwork Orange,Anthony Burgess,9780786246441.0,PB,F1-B25-S06,https://m.media-amazon.com/images/I/61ySbbGvQaL._AC_UF894,1000_QL80_.jpg
A Clockwork Orange,Anthony Burgess,9780786246441.0,PB,F1-B25-S06,https://m.media-amazon.com/images/I/61ySbbGvQaL._AC_UF894,1000_QL80_.jpg
A Clockwork Orange,Anthony Burgess,9780786246441.0,PB,F1-B25-S06,https://m.media-amazon.com/images/I/61ySbbGvQaL._AC_UF894,1000_QL80_.jpg
A Good Girl's Guide to Murder,Holly Jackson,9780008621704.0,PB,F1-B15-S07,https://m.media-amazon.com/images/I/810KNXfKxNL.jpg,https://covers.openlibrary.org/b/isbn/9780008621704-L.jpg
A Good Girl's Guide to Murder,Holly Jackson,9780008621704.0,ACD,F0-B23-S07,Audiobook (CD),https://m.media-amazon.com/images/I/810KNXfKxNL.jpg
A Kiss Before Dying,Ira Levin,9783190026869.0,PB,F2-B20-S09,Donated copy,"https://m.media-amazon.com/images/I/81rulKzn-zL._UF1000,1000_QL80_.jpg"
A Kiss Before Dying,Ira Levin,9783190026869.0,EBK,,eBook edition,"https://m.media-amazon.com/images/I/81rulKzn-zL._UF1000,1000_QL80_.jpg"
A Little Black Book,Graeme Jenkinson,9781096721567.0,PB,F2-B15-S08,,https://covers.openlibrary.org/b/isbn/9781096721567-L.jpg
A Little Black Book,Graeme Jenkinson,9781096721567.0,PB,F2-B15-S08,,https://covers.openlibrary.org/b/isbn/9781096721567-L.jpg
A Little Black Book,Graeme Jenkinson,9781096721567.0,LP,F1-B18-S04,Large print edition,https://covers.openlibrary.org/b/isbn/9781096721567-L.jpg
A Little Black Book,Graeme Jenkinson,9781096721567.0,LP,F1-B18-S04,Large print edition,https://covers.openlibrary.org/b/isbn/9781096721567-L.jpg
A Little Black Book,Graeme Jenkinson,9781096721567.0,ADIG,,Audiobook (digital),https://covers.openlibrary.org/b/isbn/9781096721567-L.jpg
A Little Princess,Frances Hodgson Burnett,9780590543071.0,PB,F1-B05-S03,https://upload.wikimedia.org/wikipedia/commons/a/a0/A_Little_Princess_cover.jpg,https://covers.openlibrary.org/b/isbn/9780590543071-L.jpg
A Little Princess,Frances Hodgson Burnett,9780590543071.0,EBK,,eBook edition,https://upload.wikimedia.org/wikipedia/commons/a/a0/A_Little_Princess_cover.jpg
A Long Way from Chicago,Richard Peck,9780807261620.0,PB,F1-B25-S09,https://m.media-amazon.com/images/I/81u6w2OV+FL._AC_UF894,1000_QL80_.jpg
A Long Way from Chicago,Richard Peck,9780807261620.0,ACD,F0-B05-S08,Audiobook (CD),"https://m.media-amazon.com/images/I/81u6w2OV+FL._AC_UF894,1000_QL80_.jpg"
A Murder Is Announced,Agatha Christie,9780007120673.0,PB,F2-B03-S04,Slightly damaged cover,"https://m.media-amazon.com/images/I/713xARKs-JL._AC_UF894,1000_QL80_.jpg"
A Murder Is Announced,Agatha Christie,9780007120673.0,ADIG,,Audiobook (digital),"https://m.media-amazon.com/images/I/713xARKs-JL._AC_UF894,1000_QL80_.jpg"
A Pocket Full of Rye,Agatha Christie,9780007208524.0,PB,F2-B09-S10,https://m.media-amazon.com/images/I/71iLGJ3uTkL._AC_UF894,1000_QL80_.jpg
A Pocket Full of Rye,Agatha Christie,9780007208524.0,LP,F1-B04-S04,Large print edition,"https://m.media-amazon.com/images/I/71iLGJ3uTkL._AC_UF894,1000_QL80_.jpg"
A Shilling for Candles (Inspector Alan Grant #2),Josephine Tey,9798545845781.0,PB,F1-B18-S09,https://m.media-amazon.com/images/I/81UIgR31AWL._AC_UF894,1000_QL80_.jpg
A Shilling for Candles (Inspector Alan Grant #2),Josephine Tey,9798545845781.0,PB,F1-B18-S09,https://m.media-amazon.com/images/I/81UIgR31AWL._AC_UF894,1000_QL80_.jpg
A Shilling for Candles (Inspector Alan Grant #2),Josephine Tey,9798545845781.0,PB,F1-B18-S09,https://m.media-amazon.com/images/I/81UIgR31AWL._AC_UF894,1000_QL80_.jpg
A Shilling for Candles (Inspector Alan Grant #2),Josephine Tey,9798545845781.0,PB,F1-B18-S09,https://m.media-amazon.com/images/I/81UIgR31AWL._AC_UF894,1000_QL80_.jpg
A Shilling for Candles (Inspector Alan Grant #2),Josephine Tey,9798545845781.0,LP,F1-B03-S06,Large print edition,"https://m.media-amazon.com/images/I/81UIgR31AWL._AC_UF894,1000_QL80_.jpg"
A Study in Scarlet,Arthur Conan Doyle,9781511815468.0,PB,F2-B21-S02,,"https://res.cloudinary.com/bloomsbury-atlas/image/upload/w_360,c_scale,dpr_1.5/jackets/9781847498724.jpg"
A Study in Scarlet,Arthur Conan Doyle,9781511815468.0,LP,F1-B23-S03,Large print edition,"https://res.cloudinary.com/bloomsbury-atlas/image/upload/w_360,c_scale,dpr_1.5/jackets/9781847498724.jpg"
A Study in Scarlet,Arthur Conan Doyle,9781511815468.0,PB,F2-B21-S02,,"https://res.cloudinary.com/bloomsbury-atlas/image/upload/w_360,c_scale,dpr_1.5/jackets/9781847498724.jpg"
A Study in Scarlet,Arthur Conan Doyle,9781511815468.0,PB,F2-B21-S02,,"https://res.cloudinary.com/bloomsbury-atlas/image/upload/w_360,c_scale,dpr_1.5/jackets/9781847498724.jpg"
A Study in Scarlet,Arthur Conan Doyle,9781511815468.0,PB,F2-B21-S02,,"https://res.cloudinary.com/bloomsbury-atlas/image/upload/w_360,c_scale,dpr_1.5/jackets/9781847498724.jpg"
A Time to Kill,John Grisham,9780375433504.0,PB,F2-B01-S10,https://m.media-amazon.com/images/I/81RLP4ed1QL._AC_UF894,1000_QL80_.jpg
A Time to Kill,John Grisham,9780375433504.0,LP,F1-B13-S09,Large print edition,"https://m.media-amazon.com/images/I/81RLP4ed1QL._AC_UF894,1000_QL80_.jpg"
A Time to Kill,John Grisham,9780375433504.0,PB,F2-B01-S10,https://m.media-amazon.com/images/I/81RLP4ed1QL._AC_UF894,1000_QL80_.jpg
A Time to Kill,John Grisham,9780375433504.0,LP,F1-B13-S09,Large print edition,"https://m.media-amazon.com/images/I/81RLP4ed1QL._AC_UF894,1000_QL80_.jpg"
A Wonder Book for Girls and Boys,Nathaniel Hawthorne,9781434485731.0,PB,F2-B14-S09,https://m.media-amazon.com/images/I/71RmhiBZSgL._AC_UF894,1000_QL80_.jpg
A Wonder Book for Girls and Boys,Nathaniel Hawthorne,9781434485731.0,EBK,,eBook edition,"https://m.media-amazon.com/images/I/71RmhiBZSgL._AC_UF894,1000_QL80_.jpg"
Abridgment of Murray's English Grammar,Lindley Murray,9780665514418.0,PB,F2-B08-S04,https://m.media-amazon.com/images/I/612Ht6Xo+jL._AC_UF894,1000_QL80_.jpg
Abridgment of Murray's English Grammar,Lindley Murray,9780665514418.0,ACD,F1-B22-S03,Audiobook (CD),"https://m.media-amazon.com/images/I/612Ht6Xo+jL._AC_UF894,1000_QL80_.jpg"
After the Funeral,Agatha Christie,9780671802936.0,PB,F1-B09-S09,https://m.media-amazon.com/images/I/613X-qq7O6L._AC_UF894,1000_QL80_.jpg
After the Funeral,Agatha Christie,9780671802936.0,ADIG,,Audiobook (digital),"https://m.media-amazon.com/images/I/613X-qq7O6L._AC_UF894,1000_QL80_.jpg"
After the Funeral,Agatha Christie,9780671802936.0,PB,F1-B09-S09,https://m.media-amazon.com/images/I/613X-qq7O6L._AC_UF894,1000_QL80_.jpg
After the Funeral,Agatha Christie,9780671802936.0,PB,F1-B09-S09,https://m.media-amazon.com/images/I/613X-qq7O6L._AC_UF894,1000_QL80_.jpg
Alice's Adventures in Wonderland / Through the Looking Glass,Lewis Carroll,9780140433173.0,PB,F1-B18-S04,,https://covers.openlibrary.org/b/isbn/9780140433173-L.jpg
Alice's Adventures in Wonderland / Through the Looking Glass,Lewis Carroll,9780140433173.0,PB,F1-B18-S04,,https://covers.openlibrary.org/b/isbn/9780140433173-L.jpg
Alice's Adventures in Wonderland / Through the Looking Glass,Lewis Carroll,9780140433173.0,PB,F1-B18-S04,,https://covers.openlibrary.org/b/isbn/9780140433173-L.jpg
Alice's Adventures in Wonderland / Through the Looking Glass,Lewis Carroll,9780140433173.0,PB,F1-B18-S04,,https://covers.openlibrary.org/b/isbn/9780140433173-L.jpg
All American Boys,Jason Reynolds,9783125799028.0,PB,F2-B02-S03,,https://covers.openlibrary.org/b/isbn/9783125799028-L.jpg
All American Boys,Jason Reynolds,9783125799028.0,PB,F2-B02-S03,,https://covers.openlibrary.org/b/isbn/9783125799028-L.jpg
All American Boys,Jason Reynolds,9783125799028.0,PB,F2-B02-S03,,https://covers.openlibrary.org/b/isbn/9783125799028-L.jpg
All American Boys,Jason Reynolds,9783125799028.0,PB,F2-B02-S03,,https://covers.openlibrary.org/b/isbn/9783125799028-L.jpg
American Dirt,Jeanine Cummins,9781250754080.0,PB,F1-B13-S06,,https://covers.openlibrary.org/b/isbn/9781250754080-L.jpg
American Dirt,Jeanine Cummins,9781250754080.0,LP,F1-B27-S06,Large print edition,https://covers.openlibrary.org/b/isbn/9781250754080-L.jpg
American Dirt,Jeanine Cummins,9781250754080.0,PB,F1-B13-S06,,https://covers.openlibrary.org/b/isbn/9781250754080-L.jpg
American Dirt,Jeanine Cummins,9781250754080.0,PB,F1-B13-S06,,https://covers.openlibrary.org/b/isbn/9781250754080-L.jpg
American Psycho,Bret Easton Ellis,9783942656412.0,PB,F2-B01-S09,,https://covers.openlibrary.org/b/isbn/9783942656412-L.jpg
American Psycho,Bret Easton Ellis,9783942656412.0,PB,F2-B01-S09,,https://covers.openlibrary.org/b/isbn/9783942656412-L.jpg
American Psycho,Bret Easton Ellis,9783942656412.0,PB,F2-B01-S09,,https://covers.openlibrary.org/b/isbn/9783942656412-L.jpg
American Psycho,Bret Easton Ellis,9783942656412.0,ADIG,,Audiobook (digital),https://covers.openlibrary.org/b/isbn/9783942656412-L.jpg
An American Tragedy,Theodore Dreiser,9798531372765.0,PB,F2-B10-S07,,https://covers.openlibrary.org/b/isbn/9798531372765-L.jpg
An American Tragedy,Theodore Dreiser,9798531372765.0,ACD,F1-B12-S02,Audiobook (CD),https://covers.openlibrary.org/b/isbn/9798531372765-L.jpg
An American Tragedy,Theodore Dreiser,9798531372765.0,PB,F2-B10-S07,,https://covers.openlibrary.org/b/isbn/9798531372765-L.jpg
An American Tragedy,Theodore Dreiser,9798531372765.0,PB,F2-B10-S07,,https://covers.openlibrary.org/b/isbn/9798531372765-L.jpg
An American Tragedy,Theodore Dreiser,9798531372765.0,PB,F2-B10-S07,,https://covers.openlibrary.org/b/isbn/9798531372765-L.jpg
Anarchism and Other Essays,Emma Goldman,9781595473462.0,PB,F1-B17-S07,,https://covers.openlibrary.org/b/isbn/9781595473462-L.jpg
Anarchism and Other Essays,Emma Goldman,9781595473462.0,ACD,F0-B12-S10,Audiobook (CD),https://covers.openlibrary.org/b/isbn/9781595473462-L.jpg
Anarchism and Other Essays,Emma Goldman,9781595473462.0,ADIG,,Audiobook (digital),https://covers.openlibrary.org/b/isbn/9781595473462-L.jpg
Anarchism and Other Essays,Emma Goldman,9781595473462.0,PB,F1-B17-S07,,https://covers.openlibrary.org/b/isbn/9781595473462-L.jpg
And Then There Were None,Agatha Christie,9781542895125.0,PB,F2-B20-S07,,https://covers.openlibrary.org/b/isbn/9781542895125-L.jpg
And Then There Were None,Agatha Christie,9781542895125.0,PB,F2-B20-S07,,https://covers.openlibrary.org/b/isbn/9781542895125-L.jpg
And Then There Were None,Agatha Christie,9781542895125.0,LP,F1-B15-S10,Large print edition,https://covers.openlibrary.org/b/isbn/9781542895125-L.jpg
And Then There Were None,Agatha Christie,9781542895125.0,ACD,F0-B03-S01,Audiobook (CD),https://covers.openlibrary.org/b/isbn/9781542895125-L.jpg
Anne of Avonlea,Lucy Maud Montgomery,9798728083719.0,PB,F1-B28-S01,,https://covers.openlibrary.org/b/isbn/9798728083719-L.jpg
Anne of Avonlea,Lucy Maud Montgomery,9798728083719.0,LP,F1-B17-S03,Large print edition,https://covers.openlibrary.org/b/isbn/9798728083719-L.jpg
Anne of Avonlea,Lucy Maud Montgomery,9798728083719.0,LP,F1-B17-S03,Large print edition,https://covers.openlibrary.org/b/isbn/9798728083719-L.jpg
Anne of Avonlea,Lucy Maud Montgomery,9798728083719.0,PB,F1-B28-S01,,https://covers.openlibrary.org/b/isbn/9798728083719-L.jpg
Anne of Green Gables,Lucy Maud Montgomery,9781958437025.0,PB,F1-B28-S06,,https://covers.openlibrary.org/b/isbn/9781958437025-L.jpg
Anne of Green Gables,Lucy Maud Montgomery,9781958437025.0,ADIG,,Audiobook (digital),https://covers.openlibrary.org/b/isbn/9781958437025-L.jpg
Anne of the Island,Lucy Maud Montgomery,9781389247552.0,PB,F1-B09-S01,Slightly damaged cover,https://covers.openlibrary.org/b/isbn/9781389247552-L.jpg
Anne of the Island,Lucy Maud Montgomery,9781389247552.0,ADIG,,Slightly damaged cover; Audiobook (digital),https://covers.openlibrary.org/b/isbn/9781389247552-L.jpg
Anne of the Island,Lucy Maud Montgomery,9781389247552.0,PB,F1-B09-S01,Slightly damaged cover,https://covers.openlibrary.org/b/isbn/9781389247552-L.jpg
Anne of the Island,Lucy Maud Montgomery,9781389247552.0,PB,F1-B09-S01,Slightly damaged cover,https://covers.openlibrary.org/b/isbn/9781389247552-L.jpg
Anne of Windy Poplars,Lucy Maud Montgomery,9798583176182.0,PB,F2-B08-S06,Replacement case,https://covers.openlibrary.org/b/isbn/9798583176182-L.jpg
Anne of Windy Poplars,Lucy Maud Montgomery,9798583176182.0,PB,F2-B08-S06,Replacement case,https://covers.openlibrary.org/b/isbn/9798583176182-L.jpg
Anne of Windy Poplars,Lucy Maud Montgomery,9798583176182.0,PB,F2-B08-S06,Replacement case,https://covers.openlibrary.org/b/isbn/9798583176182-L.jpg
Anne of Windy Poplars,Lucy Maud Montgomery,9798583176182.0,PB,F2-B08-S06,Replacement case,https://covers.openlibrary.org/b/isbn/9798583176182-L.jpg
Anne's House of Dreams,Lucy Maud Montgomery,9781718818477.0,PB,F2-B19-S05,,https://covers.openlibrary.org/b/isbn/9781718818477-L.jpg
Anne's House of Dreams,Lucy Maud Montgomery,9781718818477.0,ACD,F1-B01-S07,Audiobook (CD),https://covers.openlibrary.org/b/isbn/9781718818477-L.jpg
Anxiety,Serajul ISLAM,9798674713296.0,PB,F1-B15-S08,,https://covers.openlibrary.org/b/isbn/9798674713296-L.jpg
Anxiety,Serajul ISLAM,9798674713296.0,ACD,F1-B04-S05,Audiobook (CD),https://covers.openlibrary.org/b/isbn/9798674713296-L.jpg
Anxiety,Serajul ISLAM,9798674713296.0,PB,F1-B15-S08,,https://covers.openlibrary.org/b/isbn/9798674713296-L.jpg
Anxiety,Serajul ISLAM,9798674713296.0,ADIG,,Audiobook (digital),https://covers.openlibrary.org/b/isbn/9798674713296-L.jpg
Anxiety,Serajul ISLAM,9798674713296.0,PB,F1-B15-S08,,https://covers.openlibrary.org/b/isbn/9798674713296-L.jpg
Appointment with Death,Agatha Christie,9781572705234.0,PB,F2-B07-S02,,https://covers.openlibrary.org/b/isbn/9781572705234-L.jpg
Appointment with Death,Agatha Christie,9781572705234.0,PB,F2-B07-S02,,https://covers.openlibrary.org/b/isbn/9781572705234-L.jpg
Appointment with Death,Agatha Christie,9781572705234.0,LP,F1-B03-S02,Large print edition,https://covers.openlibrary.org/b/isbn/9781572705234-L.jpg
Appointment with Death,Agatha Christie,9781572705234.0,ADIG,,Audiobook (digital),https://covers.openlibrary.org/b/isbn/9781572705234-L.jpg
Appointment with Death,Agatha Christie,9781572705234.0,ADIG,,Audiobook (digital),https://covers.openlibrary.org/b/isbn/9781572705234-L.jpg
Artemis Fowl and the Arctic Incident,Eoin Colfer,9780307343109.0,PB,F1-B15-S09,Staff pick,https://covers.openlibrary.org/b/isbn/9780307343109-L.jpg
Artemis Fowl and the Arctic Incident,Eoin Colfer,9780307343109.0,PB,F1-B15-S09,Staff pick,https://covers.openlibrary.org/b/isbn/9780307343109-L.jpg
Artemis Fowl and the Arctic Incident,Eoin Colfer,9780307343109.0,PB,F1-B15-S09,Staff pick,https://covers.openlibrary.org/b/isbn/9780307343109-L.jpg
Artemis Fowl and the Arctic Incident,Eoin Colfer,9780307343109.0,LP,F1-B26-S07,Staff pick; Large print edition,https://covers.openlibrary.org/b/isbn/9780307343109-L.jpg
Artemis Fowl and the Atlantis Complex,Eoin Colfer,9780241335659.0,PB,F1-B03-S08,Missing dust jacket,https://covers.openlibrary.org/b/isbn/9780241335659-L.jpg
Artemis Fowl and the Atlantis Complex,Eoin Colfer,9780241335659.0,PB,F1-B03-S08,Missing dust jacket,https://covers.openlibrary.org/b/isbn/9780241335659-L.jpg
Artemis Fowl and the Atlantis Complex,Eoin Colfer,9780241335659.0,LP,F1-B17-S09,Missing dust jacket; Large print edition,https://covers.openlibrary.org/b/isbn/9780241335659-L.jpg
Artemis Fowl and the Atlantis Complex,Eoin Colfer,9780241335659.0,PB,F1-B03-S08,Missing dust jacket,https://covers.openlibrary.org/b/isbn/9780241335659-L.jpg
Artemis Fowl and the Atlantis Complex,Eoin Colfer,9780241335659.0,LP,F1-B17-S09,Missing dust jacket; Large print edition,https://covers.openlibrary.org/b/isbn/9780241335659-L.jpg
Artemis Fowl and the Eternity Code,Eoin Colfer,9781484443064.0,PB,F2-B17-S05,,https://covers.openlibrary.org/b/isbn/9781484443064-L.jpg
Artemis Fowl and the Eternity Code,Eoin Colfer,9781484443064.0,ACD,F0-B01-S04,Audiobook (CD),https://covers.openlibrary.org/b/isbn/9781484443064-L.jpg
Artemis Fowl and the Eternity Code,Eoin Colfer,9781484443064.0,LP,F1-B07-S03,Large print edition,https://covers.openlibrary.org/b/isbn/9781484443064-L.jpg
Artemis Fowl and the Eternity Code,Eoin Colfer,9781484443064.0,PB,F2-B17-S05,,https://covers.openlibrary.org/b/isbn/9781484443064-L.jpg
Artemis Fowl and the Time Paradox,Eoin Colfer,9781484493984.0,PB,F1-B21-S08,,https://covers.openlibrary.org/b/isbn/9781484493984-L.jpg
Artemis Fowl and the Time Paradox,Eoin Colfer,9781484493984.0,PB,F1-B21-S08,,https://covers.openlibrary.org/b/isbn/9781484493984-L.jpg
Artemis Fowl and the Time Paradox,Eoin Colfer,9781484493984.0,PB,F1-B21-S08,,https://covers.openlibrary.org/b/isbn/9781484493984-L.jpg
Artemis Fowl and the Time Paradox,Eoin Colfer,9781484493984.0,LP,F1-B11-S10,Large print edition,https://covers.openlibrary.org/b/isbn/9781484493984-L.jpg
Artemis Fowl. The Lost Colony,Eoin Colfer,9788711312278.0,PB,F2-B15-S02,,https://covers.openlibrary.org/b/isbn/9788711312278-L.jpg
Artemis Fowl. The Lost Colony,Eoin Colfer,9788711312278.0,ACD,F1-B23-S05,Audiobook (CD),https://covers.openlibrary.org/b/isbn/9788711312278-L.jpg
Atlantis Found,Clive Cussler,9788401329326.0,PB,F1-B25-S03,Donated copy,https://covers.openlibrary.org/b/isbn/9788401329326-L.jpg
Atlantis Found,Clive Cussler,9788401329326.0,ADIG,,Audiobook (digital),https://covers.openlibrary.org/b/isbn/9788401329326-L.jpg
Behind Closed Doors,B.A. Paris,9781250121004.0,PB,F2-B25-S09,,https://covers.openlibrary.org/b/isbn/9781250121004-L.jpg
Behind Closed Doors,B.A. Paris,9781250121004.0,PB,F2-B25-S09,,https://covers.openlibrary.org/b/isbn/9781250121004-L.jpg
Behind Closed Doors,B.A. Paris,9781250121004.0,PB,F2-B25-S09,,https://covers.openlibrary.org/b/isbn/9781250121004-L.jpg
Behind Closed Doors,B.A. Paris,9781250121004.0,PB,F2-B25-S09,,https://covers.openlibrary.org/b/isbn/9781250121004-L.jpg
Behind Closed Doors,B.A. Paris,9781250121004.0,PB,F2-B25-S09,,https://covers.openlibrary.org/b/isbn/9781250121004-L.jpg
Black Beauty,Anna Sewell,9781530899845.0,PB,F2-B02-S09,,https://covers.openlibrary.org/b/isbn/9781530899845-L.jpg
Black Beauty,Anna Sewell,9781530899845.0,ACD,F0-B14-S01,Audiobook (CD),https://covers.openlibrary.org/b/isbn/9781530899845-L.jpg
Black Beauty,Anna Sewell,9781530899845.0,PB,F2-B02-S09,,https://covers.openlibrary.org/b/isbn/9781530899845-L.jpg
Black Beauty,Anna Sewell,9781530899845.0,LP,F1-B03-S06,Large print edition,https://covers.openlibrary.org/b/isbn/9781530899845-L.jpg
Blindsighted,Karin Slaughter,9781856867757.0,PB,F2-B07-S09,,https://covers.openlibrary.org/b/isbn/9781856867757-L.jpg
Blindsighted,Karin Slaughter,9781856867757.0,PB,F2-B07-S09,,https://covers.openlibrary.org/b/isbn/9781856867757-L.jpg
Blindsighted,Karin Slaughter,9781856867757.0,LP,F1-B20-S10,Large print edition,https://covers.openlibrary.org/b/isbn/9781856867757-L.jpg
Blindsighted,Karin Slaughter,9781856867757.0,LP,F1-B20-S10,Large print edition,https://covers.openlibrary.org/b/isbn/9781856867757-L.jpg
Blindsighted,Karin Slaughter,9781856867757.0,PB,F2-B07-S09,,https://covers.openlibrary.org/b/isbn/9781856867757-L.jpg
Born a Crime,Trevor Noah,9788960518148.0,PB,F1-B14-S03,,https://covers.openlibrary.org/b/isbn/9788960518148-L.jpg
Born a Crime,Trevor Noah,9788960518148.0,LP,F1-B15-S02,Large print edition,https://covers.openlibrary.org/b/isbn/9788960518148-L.jpg
Born a Crime,Trevor Noah,9788960518148.0,ACD,F1-B15-S05,Audiobook (CD),https://covers.openlibrary.org/b/isbn/9788960518148-L.jpg
Born a Crime,Trevor Noah,9788960518148.0,LP,F1-B15-S02,Large print edition,https://covers.openlibrary.org/b/isbn/9788960518148-L.jpg
Born a Crime,Trevor Noah,9788960518148.0,ADIG,,Audiobook (digital),https://covers.openlibrary.org/b/isbn/9788960518148-L.jpg
Brighton rock,Graham Greene,9780140130263.0,PB,F1-B10-S01,,https://covers.openlibrary.org/b/isbn/9780140130263-L.jpg
Brighton rock,Graham Greene,9780140130263.0,PB,F1-B10-S01,,https://covers.openlibrary.org/b/isbn/9780140130263-L.jpg
Brighton rock,Graham Greene,9780140130263.0,PB,F1-B10-S01,,https://covers.openlibrary.org/b/isbn/9780140130263-L.jpg
Brighton rock,Graham Greene,9780140130263.0,PB,F1-B10-S01,,https://covers.openlibrary.org/b/isbn/9780140130263-L.jpg
Brighton rock,Graham Greene,9780140130263.0,PB,F1-B10-S01,,https://covers.openlibrary.org/b/isbn/9780140130263-L.jpg
Busman's honeymoon,Dorothy L. Sayers,9781453262320.0,PB,F2-B10-S05,,https://covers.openlibrary.org/b/isbn/9781453262320-L.jpg
Busman's honeymoon,Dorothy L. Sayers,9781453262320.0,EBK,,eBook edition,https://covers.openlibrary.org/b/isbn/9781453262320-L.jpg
By the Pricking of My Thumbs,Agatha Christie,9780671414948.0,PB,F2-B21-S08,,https://covers.openlibrary.org/b/isbn/9780671414948-L.jpg
By the Pricking of My Thumbs,Agatha Christie,9780671414948.0,LP,F1-B22-S10,Large print edition,https://covers.openlibrary.org/b/isbn/9780671414948-L.jpg
By the Pricking of My Thumbs,Agatha Christie,9780671414948.0,LP,F1-B22-S10,Large print edition,https://covers.openlibrary.org/b/isbn/9780671414948-L.jpg
By the Pricking of My Thumbs,Agatha Christie,9780671414948.0,PB,F2-B21-S08,,https://covers.openlibrary.org/b/isbn/9780671414948-L.jpg
By the Pricking of My Thumbs,Agatha Christie,9780671414948.0,ACD,F1-B28-S06,Audiobook (CD),https://covers.openlibrary.org/b/isbn/9780671414948-L.jpg
Cards on the Table,Agatha Christie,9788427285262.0,PB,F2-B16-S09,,https://covers.openlibrary.org/b/isbn/9788427285262-L.jpg
Cards on the Table,Agatha Christie,9788427285262.0,PB,F2-B16-S09,,https://covers.openlibrary.org/b/isbn/9788427285262-L.jpg
Cards on the Table,Agatha Christie,9788427285262.0,PB,F2-B16-S09,,https://covers.openlibrary.org/b/isbn/9788427285262-L.jpg
